k,gm,gm_e,nm,nm_e
222,1.079867048316475e-8,1.4828883779629643e-5,3.7476635044762035e-27,1.171963876036268e-9
223,1.009796551788417e-8,1.391175447472185e-5,2.8541766989753188e-27,1.0239093770043997e-9
224,9.44294770537379e-9,1.3051347319263777e-5,2.1701001838064898e-27,8.945586410592524e-10
225,8.83062197168904e-9,1.2244154190441134e-5,1.648053175104932e-27,7.815488169812297e-10
226,8.258190786629244e-9,1.148688393404537e-5,1.2506725852469786e-27,6.828155531553364e-10
227,7.723041045454857e-9,1.0776448945509057e-5,9.483679031180663e-28,5.965552880390652e-10
228,7.2227318284291315e-9,1.010995258087062e-5,7.191166814364224e-28,5.211923044852084e-10
229,6.75498297887731e-9,9.484677346339366e-6,5.4522643166977035e-28,4.553499461005763e-10
230,6.317664444626893e-9,8.898073818306313e-6,4.126520027833247e-28,3.9782546984955e-10
231,5.908786331338137e-9,8.347750248624566e-6,3.126674660008111e-28,3.4756807553471884e-10
232,5.5264896198211515e-9,7.831462812777113e-6,2.3724523133145146e-28,3.0365971081890153e-10
233,5.1690375026262275e-9,7.34710646117093e-6,1.800184857930939e-28,2.6529830115369173e-10
234,4.834807298268317e-9,6.892706336255693e-6,1.3684597007698758e-28,2.31783098275459e-10
235,4.522282904270441e-9,6.466409720472141e-6,1.0376848047673521e-28,2.0250187962963327e-10
236,4.23004775279927e-9,6.066478482199685e-6,7.839881965244842e-29,1.7691976489502414e-10
237,3.95677823522247e-9,5.691281988903221e-6,5.952643839690618e-29,1.5456944531951014e-10
238,3.7012375640448646e-9,5.339290458584043e-6,4.5506037064613687e-29,1.3504264738627279e-10
239,3.462270042977644e-9,5.0090687224268875e-6,3.4750969410779136e-29,1.179826748772796e-10
240,3.2387957177505534e-9,4.699270373211591e-6,2.6948654505998334e-29,1.0307789309981221e-10
241,3.0298053821736346e-9,4.40863227563086e-6,2.0845186591561896e-29,9.005603625233983e-11
242,2.8343559157199203e-9,4.135969416131103e-6,1.6569536587202236e-29,7.867923394233132e-11
243,2.6515659303891654e-9,3.880170071277721e-6,1.3575675041010627e-29,6.873966600535633e-11
244,2.4806117062399146e-9,3.6401912749448896e-6,1.1159922205558824e-29,6.005576625201101e-11
245,2.3207233962892323e-9,3.4150545658483005e-6,9.265918456566734e-30,5.2468905796474837e-11
246,2.171181482770575e-9,3.203841998082336e-6,7.758434002025694e-30,4.5840495381027044e-11
247,2.0313134680256527e-9,3.005692398395539e-6,6.658018037691747e-30,4.004945376465508e-11
248,1.9004907843410324e-9,2.8197978549442056e-6,5.865606427567488e-30,3.498999593078369e-11
249,1.7781259081782914e-9,2.6454004232077726e-6,5.302292319807353e-30,3.056970071129266e-11
250,1.6636696651457798e-9,2.481789035635085e-6,4.9921545569057814e-30,2.6707822528091293e-11
251,1.5566087130504023e-9,2.3282966024212993e-6,4.8791479653845685e-30,2.3333816412815578e-11
252,1.456463191141824e-9,2.18429729159447e-6,5.1540263634848794e-30,2.0386049361167916e-11
253,1.3627845245490335e-9,2.0492039773219616e-6,5.458863132006005e-30,1.781067448219575e-11
254,1.2751533735378275e-9,1.922465846032722e-6,5.783515079761775e-30,1.5560647376582502e-11
255,1.1931777180268074e-9,1.803566150594891e-6,6.35102487097855e-30,1.3594866776122952e-11
256,1.1164910683311804e-9,1.6920201033918942e-6,6.752380109780424e-30,1.187742374643559e-11
257,1.0447507938027465e-9,1.5873728997065086e-6,6.989091908519958e-30,1.037694573809012e-11
258,9.776365615137483e-10,1.4891978633536604e-6,7.613663854070204e-30,9.066023503925398e-12
259,9.148488777154612e-10,1.3970947070011987e-6,7.99477120192188e-30,7.920710414050535e-12
260,8.561077252427569e-10,1.3106879000854613e-6,8.15317989594323e-30,6.920085022511196e-12
261,8.011512905299251e-10,1.2296251376671796e-6,8.183171984771722e-30,6.045868895021851e-12
262,7.49734774300758e-10,1.1535759039848035e-6,8.205141379210234e-30,5.282092716619306e-12
263,7.016292803863804e-10,1.08223012484846e-6,8.241046250081765e-30,4.614804580022551e-12
264,6.56620777525987e-10,1.015296903379964e-6,8.562558699910466e-30,4.031815125999426e-12
265,6.145091293105493e-10,9.525033339441424e-7,8.699360526329834e-30,3.5224748802165596e-12
266,5.751071877824726e-10,8.935933894355368e-7,8.692235437199389e-30,3.0774797191825488e-12
267,5.382399464794088e-10,8.383268773836308e-7,8.663591192346262e-30,2.6887009117287544e-12
268,5.037437489991414e-10,7.864784606203584e-7,8.330047779444663e-30,2.3490366313937106e-12
269,4.714655494375222e-10,7.37836738516868e-7,8.049710990478619e-30,2.0522822272863433e-12
270,4.41262221259451e-10,6.922033850434949e-7,7.875867503729665e-30,1.7930168836645376e-12
271,4.129999114288373e-10,6.493923401385617e-7,7.852845693572047e-30,1.5665045978384008e-12
272,3.8655343680855206e-10,6.092290510889932e-7,8.05748815566033e-30,1.3686076675605725e-12
273,3.6180572005098754e-10,5.715497608296397e-7,8.23263295437465e-30,1.1957111075768555e-12
274,3.386472623753747e-10,5.362008402595039e-7,8.40934867834825e-30,1.0446566146535148e-12
275,3.1697565081496846e-10,5.030381618525352e-7,8.55650739135767e-30,9.12684874819729e-13
276,2.966950976574558e-10,4.719265120090275e-7,8.678611470996604e-30,7.97385158950998e-13
277,2.777160099761843e-10,4.427390397516106e-7,9.077200051834241e-30,6.966512859555106e-13
278,2.5995458725862506e-10,4.153567395180135e-7,9.617709953595349e-30,6.08643149142548e-13
279,2.4333244530649235e-10,3.896679659417978e-7,9.94672595124586e-30,5.317531029747001e-13
280,2.277762646658878e-10,3.6556797864268904e-7,1.0055450624267814e-29,4.645765961903525e-13
281,2.1321746199428623e-10,3.429585151704836e-7,1.0015179544982788e-29,4.0588651485139095e-13
282,1.9959188284502418e-10,3.2174739036130597e-7,1.0225708837798993e-29,3.5461076664031395e-13
