p1,p2,p3,T
0.9996971135471706,0.00020191753812939518,0.00010096891469999213,C
0.9997186127417883,0.00018758566797536771,9.380159023632836e-5,C
0.9997385861220575,0.00017427088054136925,8.714299740117086e-5,C
0.9997571419459474,0.00016190102121851235,8.095703283404033e-5,C
0.9997743807945673,0.00015040905092622632,7.52101545065103e-5,C
0.9997903961159834,0.0001397326838923609,6.987120012422391e-5,C
0.9998052747305931,0.0001298140510189696,6.491121838792278e-5,C
0.9998190973007597,0.00012059938703507423,6.0303312205240876e-5,C
0.9998319387672264,0.00011203873976298512,5.60224930105902e-5,C
0.9998438687546535,0.00010408569994145982,5.2045545405064855e-5,C
0.9998549519484534,9.669715015769052e-5,4.835090138889077e-5,C
0.9998652484449528,8.983303154135409e-5,4.491852350580932e-5,C
0.9998748140767604,8.345612696822107e-5,4.1729796271402445e-5,C
0.9998837007150951,7.75318596085801e-5,3.876742529628375e-5,C
0.999891956550701,7.202810573742063e-5,3.601534356162389e-5,C
0.9998996263548611,6.691502079934123e-5,3.345862433958798e-5,C
0.99990675172192,6.216487779189768e-5,3.108340028809602e-5,C
0.9999133712946195,5.775191709692981e-5,2.8876788283523945e-5,C
